o2used,comrte,tothired,totmembers,camps,year,success,ratio_hired,season_Spring,season_Summer,season_Winter,peakid_Autre,peakid_BARU,peakid_CHOY,peakid_DHA1,peakid_EVER,peakid_LHOT,peakid_MAKA,peakid_MANA
0,0,2,1,1,1985,0,2.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,1985,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,2,0,1985,0,0.5,0,0,0,0,0,0,1,0,0,0,0
0,0,1,8,1,1985,0,0.125,0,0,0,1,0,0,0,0,0,0,0
0,0,0,7,3,1985,0,0.0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,6,4,1985,1,0.16666666666666666,0,0,0,1,0,0,0,0,0,0,0
0,0,2,4,3,1985,1,0.5,0,0,1,1,0,0,0,0,0,0,0
0,0,0,2,0,1985,1,0.0,0,0,1,0,0,0,0,0,0,0,0
0,0,4,16,4,1985,0,0.25,0,0,1,1,0,0,0,0,0,0,0
0,0,0,6,0,1985,1,0.0,0,0,1,0,0,1,0,0,0,0,0
0,0,3,7,3,1985,0,0.42857142857142855,0,0,1,0,0,0,0,0,0,1,0
0,0,1,10,3,1985,1,0.1,0,0,1,1,0,0,0,0,0,0,0
0,0,2,4,2,1985,0,0.5,0,0,1,1,0,0,0,0,0,0,0
0,1,0,2,0,1985,1,0.0,0,0,1,0,0,0,0,0,0,0,1
0,0,4,6,1,1985,0,0.6666666666666666,0,0,1,0,0,0,0,0,0,1,0
0,1,0,5,2,1985,0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,19,4,1985,1,0.0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,4,0,1985,1,0.0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,2,0,1986,0,0.5,0,0,1,1,0,0,0,0,0,0,0
0,0,0,2,0,1986,0,0.0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,2,0,1986,0,0.0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,3,0,1986,1,0.3333333333333333,0,0,1,1,0,0,0,0,0,0,0
0,0,2,5,2,1986,1,0.4,0,0,1,1,0,0,0,0,0,0,0
0,0,0,4,1,1986,0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,4,3,1987,0,0.0,1,0,0,1,0,0,0,0,0,0,0
1,0,4,9,4,1987,1,0.4444444444444444,1,0,0,0,0,0,0,0,0,1,0
0,1,2,6,5,1987,0,0.3333333333333333,1,0,0,0,0,1,0,0,0,0,0
0,0,0,2,2,1987,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,1,7,2,1987,0,0.14285714285714285,1,0,0,1,0,0,0,0,0,0,0
0,1,3,4,5,1987,1,0.75,1,0,0,0,0,1,0,0,0,0,0
0,0,1,10,3,1987,0,0.1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,4,0,1987,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,6,13,4,1987,1,0.46153846153846156,1,0,0,1,0,0,0,0,0,0,0
0,0,5,5,3,1987,0,1.0,1,0,0,1,0,0,0,0,0,0,0
0,1,1,5,3,1987,1,0.2,1,0,0,0,0,0,0,0,0,0,0
1,0,7,9,4,1987,0,0.7777777777777778,1,0,0,0,0,0,1,0,0,0,0
0,1,0,27,3,1987,1,0.0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,2,2,1987,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,4,2,1987,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,5,8,5,1987,0,0.625,1,0,0,1,0,0,0,0,0,0,0
0,0,2,5,1,1987,0,0.4,1,0,0,1,0,0,0,0,0,0,0
0,0,0,5,1,1987,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,2,5,3,1987,0,0.4,1,0,0,0,0,0,0,0,0,1,0
0,1,0,6,3,1987,1,0.0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,1987,0,0.0,1,0,0,0,0,0,0,0,0,0,1
0,1,2,2,2,1987,0,1.0,1,0,0,0,0,0,0,0,0,0,1
0,0,4,13,3,1987,0,0.3076923076923077,1,0,0,1,0,0,0,0,0,0,0
